DATA,ORDEM,TIPO_DE_AT,APARELHO,MARCA,TECNICO,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO
10-05-2022,1665,FON,Lavadora,Panasonic,Luan,Concluído,0,19-10-2022,19-10-2022,Sim
10-05-2022,1666,FB,Microondas,Midea,Luan,Concluído,0,10-11-2022,13-10-2022,Sim
10-05-2022,1667,GB,Panela,Midea,Thiago,Troca,0,0,18-11-2022,NÃO
10-06-2022,1668,GON,Refrigerador,Panasonic,Cvg,Concluído,0,11-10-2022,11-10-2022,Sim
10-06-2022,1669,FB,Robo,Wap,Thiago,Concluído,0,13-10-2022,17-10-2022,Sim
10-06-2022,1670,GON,Lavadora,Panasonic,Cvg,Concluído,0,15-10-2022,15-10-2022,Sim
10-06-2022,1671,GB,Toshiba,Microondas,Luan,Concluído,17-10-2022,18-10-2022,19-10-2022,Sim
10-06-2022,1672,GB,Robo,Wap,Thiago,Concluído,17-10-2022,20-10-2022,24-10-2022,Sim
10-07-2022,1673,GON,Refrigerador,Panasonic,Cvg,Concluído,0,10-07-2022,10-07-2022,Sim
10-07-2022,1674,GB,Robo,Wap,Thiago,Concluído,0,10-07-2022,10-07-2022,Sim
10-07-2022,1675,GON,Lavadora,Panasonic,Alex,Concluído,0,10-08-2022,10-08-2022,Sim
20-10-2022,1676,GON,Lavadora,Panasonic,Luan,Concluído,0,24-10-2022,24-10-2022,Sim
10-08-2022,1677,GON,,Midea,Cvg,Concluído,0,15-10-2022,15-10-2022,Sim
10-08-2022,1678,FB,Notebook,Acer,Luan,Concluído,0,28-11-2022,14-11-2022,Sim
10-08-2022,1679,FB,Notebook,Itautec,Luan,Concluído,0,13-10-2022,14-10-2022,Sim
10-08-2022,1680,GON,Refrigerador,Panasonic,Cvg,Concluído,20-10-2022,22-10-2022,22-10-2022,Sim
10-08-2022,1681,GON,Lavadora,Panasonic,Cvg,Concluído,0,11-07-2022,11-07-2022,Sim
10-10-2022,1682,GON,Lava E Seca,Midea,Cvg,Concluído,0,10-11-2022,10-11-2022,Sim
10-10-2022,1683,GON,Lava E Seca,Midea,,CANCELADO,0,0,13-10-2022,Não
10-10-2022,1684,FON,Coifa,Midea,Cvg,CANCELADO,0,0,27-10-2022,Não
10-11-2022,1685,FB,Microondas,Midea,,,0,0,0,Não
10-10-2022,1686,GB,Torradeira,Midea,Lucas,Troca,0,0,11-01-2022,NÃO
10-10-2022,1687,GON,Lava E Seca,Midea,Cvg/Luan,Concluído,25-10-2022,26-10-2022,26-10-2022,Sim
10-11-2022,1688,GB,Robo,Wap,Mateus,Concluído,17-10-2022,18-10-2022,25-10-2022,Sim
10-11-2022,1689,GB,Microondas,Midea,Luan,Concluído,19-10-2022,11-03-2023,11-04-2023,Sim
10-11-2022,1690,GON,Lavadora,Panasonic,Cvg,Concluído,0,18-10-2022,18-10-2022,Sim
10-11-2022,1691,FB,Frigobar,Midea,Luan,SEM CONSERTO,0,0,27-10-2022,Não
10-11-2022,1692,GB,Micro-Ondas,Midea,Luan,SEM CONSERTO,0,0,16-11-2022,NÃO
10-11-2022,1693,GON,Lavadora,Midea,Luan,Concluído,0,17-10-2022,17-10-2022,Não
10-11-2022,1694,FB,Robo,Wap,Thiago,SEM DEFEITO,0,13-10-2022,19-10-2022,NÃO
10-11-2022,1695,GON,Cooktop,Panasonic,Cvg,Concluído,0,15-10-2022,15-10-2022,Sim
10-11-2022,1696,FON,Lavadora,Panasonic,Cvg,Concluído,0,13-10-2022,13-10-2022,Sim
10-11-2022,1697,GB,Robo,Wap,Mateus,Concluído,0,14-10-2022,26-10-2022,Sim
13-10-2022,1698,GB,Microondas,Midea,Luan,Concluído,0,18-10-2022,21-10-2022,Sim
10-11-2022,1699,FB,Robo,Wap,Mateus,SEM CONSERTO,0,0,18-10-2022,NÃO
13-10-2022,1699 - D,FB,Micro-Ondas,Electrolux,Luan,Concluído,0,17-10-2022,18-10-2022,Sim
13-10-2022,1700,GON,Secadora,Midea,Luan / Cvg,Concluído,24-10-2022,11-09-2022,11-09-2022,Sim
13-10-2022,1701,GS,Refrigerador,Panasonic,Cvg,Concluído,0,15-10-2022,15-10-2022,Sim
13-10-2022,1702,GON,Lavadora,Midea,Cvg / Luan,Concluído,0,28-10-2022,28-10-2022,Sim
13-10-2022,1703,FON,Lavadora,Panasonic,,,0,0,0,Não
